Country Name,Country Code,Region,Income_Group
Aruba,ABW,Sin Asignar,Ingreso alto
Afganistán,AFG,Asia meridional,Países de ingreso bajo
Angola,AGO,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Albania,ALB,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Andorra,AND,Sin Asignar,Ingreso alto
El mundo árabe,ARB,Sin Asignar,Agregados
Emiratos Árabes Unidos,ARE,Sin Asignar,Ingreso alto
Argentina,ARG,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Armenia,ARM,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Samoa Americana,ASM,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Antigua y Barbuda,ATG,Sin Asignar,Ingreso alto
Australia,AUS,Sin Asignar,Ingreso alto
Austria,AUT,Sin Asignar,Ingreso alto
Azerbaiyán,AZE,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Burundi,BDI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Bélgica,BEL,Sin Asignar,Ingreso alto
Benin,BEN,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Burkina Faso,BFA,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Bangladesh,BGD,Asia meridional,Países de ingreso mediano bajo
Bulgaria,BGR,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Bahrein,BHR,Sin Asignar,Ingreso alto
Bahamas,BHS,Sin Asignar,Ingreso alto
Bosnia y Herzegovina,BIH,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Belarús,BLR,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Belice,BLZ,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Bermudas,BMU,Sin Asignar,Ingreso alto
Bolivia,BOL,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Brasil,BRA,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Barbados,BRB,Sin Asignar,Ingreso alto
Brunei Darussalam,BRN,Sin Asignar,Ingreso alto
Bhután,BTN,Asia meridional,Países de ingreso mediano bajo
Botswana,BWA,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
República Centroafricana,CAF,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Canadá,CAN,Sin Asignar,Ingreso alto
"Europa Central y del Báltico
",CEB,Sin Asignar,Agregados
Suiza,CHE,Sin Asignar,Ingreso alto
Islas del Canal,CHI,Sin Asignar,Ingreso alto
Chile,CHL,Sin Asignar,Ingreso alto
China,CHN,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Côte d'Ivoire,CIV,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Camerún,CMR,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
"Congo, República Democrática del",COD,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
"Congo, República del",COG,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Colombia,COL,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Comoras,COM,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Cabo Verde,CPV,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Costa Rica,CRI,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Estados pequeos del Caribe,CSS,Sin Asignar,Agregados
Cuba,CUB,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Curacao,CUW,Sin Asignar,Ingreso alto
Islas Caimán,CYM,Sin Asignar,Ingreso alto
Chipre,CYP,Sin Asignar,Ingreso alto
República Checa,CZE,Sin Asignar,Ingreso alto
Alemania,DEU,Sin Asignar,Ingreso alto
Djibouti,DJI,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Dominica,DMA,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Dinamarca,DNK,Sin Asignar,Ingreso alto
República Dominicana,DOM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Argelia,DZA,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Sin Asignar,Agregados
inicial del dividendo demográfico,EAR,Sin Asignar,Agregados
Asia oriental y el Pacífico ,EAS,Sin Asignar,Agregados
Europa y Asia central (excluido altos ingresos),ECA,Sin Asignar,Agregados
Europa y Asia central,ECS,Sin Asignar,Agregados
Ecuador,ECU,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
"Egipto, República Árabe de",EGY,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Zona del Euro,EMU,Sin Asignar,Agregados
Eritrea,ERI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
España,ESP,Sin Asignar,Ingreso alto
Estonia,EST,Sin Asignar,Ingreso alto
Etiopía,ETH,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Unión Europea,EUU,Sin Asignar,Agregados
"Frágiles y situaciones de conflicto afectados
",FCS,Sin Asignar,Agregados
Finlandia,FIN,Sin Asignar,Ingreso alto
Fiji,FJI,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Francia,FRA,Sin Asignar,Ingreso alto
Islas Feroe,FRO,Sin Asignar,Ingreso alto
Micronesia (Estados Federados de),FSM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Gabón,GAB,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Reino Unido,GBR,Sin Asignar,Ingreso alto
Georgia,GEO,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Ghana,GHA,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Gibraltar,GIB,Sin Asignar,Ingreso alto
Guinea,GIN,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Gambia,GMB,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Guinea-Bissau,GNB,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Guinea Ecuatorial,GNQ,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Grecia,GRC,Sin Asignar,Ingreso alto
Granada,GRD,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Groenlandia,GRL,Sin Asignar,Ingreso alto
Guatemala,GTM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Guam,GUM,Sin Asignar,Ingreso alto
Guyana,GUY,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Ingreso alto,HIC,Sin Asignar,Agregados
"Hong Kong, Región Administrativa Especial",HKG,Sin Asignar,Ingreso alto
Honduras,HND,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Países pobres muy endeudados (PPME),HPC,Sin Asignar,Agregados
Croacia,HRV,Sin Asignar,Ingreso alto
Haití,HTI,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Hungría,HUN,Sin Asignar,Ingreso alto
Sólo BIRF,IBD,Sin Asignar,Agregados
BIRF y la AIF,IBT,Sin Asignar,Agregados
total de la AIF,IDA,Sin Asignar,Agregados
mezcla de la AIF,IDB,Sin Asignar,Agregados
Indonesia,IDN,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Sólo AIF,IDX,Sin Asignar,Agregados
Isla de Man,IMN,Sin Asignar,Ingreso alto
India,IND,Asia meridional,Países de ingreso mediano bajo
No clasificado,INX,Sin Asignar,Agregados
Irlanda,IRL,Sin Asignar,Ingreso alto
