Date,Open,High,Low,Close,Adj Close,Volume,
1/1/2013, 45.099998 , 50.090000 , 44.000000 , 44.900002 , 44.900002 ,117701600,January
1/2/2013, 45.930000 , 46.939999 , 40.689999 , 41.650002 , 41.650002 ,27925300,January
1/3/2013, 40.500000 , 43.000000 , 39.400002 , 42.900002 , 42.900002 ,16113900,January
1/4/2013, 43.660000 , 43.779999 , 41.830002 , 41.900002 , 41.900002 ,6316700,January
1/5/2013, 41.029999 , 42.869999 , 40.759998 , 42.599998 , 42.599998 ,8688300,January
1/6/2013, 42.340000 , 45.669998 , 42.240002 , 44.689999 , 44.689999 ,11099400,January
1/8/2013, 45.250000 , 45.270000 , 43.430000 , 43.980000 , 43.980000 ,8010600,January
1/9/2013, 43.500000 , 43.950001 , 40.849998 , 41.139999 , 41.139999 ,12810600,January
1/10/2013, 41.389999 , 41.900002 , 40.000000 , 41.750000 , 41.750000 ,7436600,January
1/11/2013, 41.400002 , 41.750000 , 40.509998 , 41.049999 , 41.049999 ,5767300,January
1/12/2013, 41.250000 , 42.490002 , 40.369999 , 42.060001 , 42.060001 ,8324700,January
1/13/2013, 41.810001 , 42.279999 , 40.970001 , 41.000000 , 41.000000 ,6185200,January
1/15/2013, 41.080002 , 41.139999 , 38.799999 , 39.060001 , 39.060001 ,14333300,January
1/16/2013, 39.160000 , 40.549999 , 38.919998 , 40.180000 , 40.180000 ,9828400,January
1/17/2013, 40.470001 , 41.400002 , 40.349998 , 40.900002 , 40.900002 ,5536300,January
1/18/2013, 41.400002 , 41.580002 , 40.900002 , 41.570000 , 41.570000 ,4107000,January
1/19/2013, 41.790001 , 42.000000 , 40.400002 , 40.779999 , 40.779999 ,6424300,January
1/20/2013, 40.689999 , 41.599998 , 40.540001 , 41.369999 , 41.369999 ,5771000,January
1/22/2013, 41.270000 , 43.919998 , 41.270000 , 43.689999 , 43.689999 ,11014900,January
1/23/2013, 43.450001 , 46.349998 , 42.830002 , 45.619999 , 45.619999 ,11729400,January
1/24/2013, 45.750000 , 45.799999 , 44.540001 , 44.950001 , 44.950001 ,6230000,January
1/25/2013, 45.590000 , 49.840000 , 45.020000 , 49.139999 , 49.139999 ,17366600,January
1/26/2013, 48.900002 , 52.580002 , 48.700001 , 51.990002 , 51.990002 ,25792000,January
