id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
363020,363021,DL,2582,MCO,BDL,2,1155,153,0
422163,422164,WN,2772,SAT,BNA,6,645,125,0
318247,318248,MQ,3044,LAX,DEN,7,725,140,0
260117,260118,WN,3496,LIT,PHX,4,420,195,0
294548,294549,DL,1924,ATL,BWI,5,1290,113,0
325297,325298,MQ,3221,MKE,DFW,7,1100,165,0
232344,232345,9E,4334,CVG,JAX,2,810,113,0
384359,384360,MQ,3357,MOB,DFW,4,360,115,0
356064,356065,US,1453,CLT,MSY,2,790,123,0
147618,147619,EV,5285,GSO,ATL,4,835,95,0
356420,356421,MQ,3326,TYS,DFW,2,810,155,0
50598,50599,CO,793,MCO,EWR,5,1106,154,0
416139,416140,OO,6353,DEN,RKS,5,1135,75,0
415776,415777,US,1630,CLT,LGA,5,1095,115,0
129596,129597,US,1842,PHL,PVD,3,825,64,0
406709,406710,DL,2638,ATL,DCA,5,560,111,0
487110,487111,EV,5538,OMA,ATL,3,322,153,0
103503,103504,MQ,4275,MSN,ORD,2,360,55,0
295528,295529,B6,371,LGA,FLL,6,360,174,0
211724,211725,FL,1204,RSW,MDW,1,650,180,0
274794,274795,UA,631,DCA,ORD,4,1183,132,0
140527,140528,B6,37,JFK,TPA,4,470,176,0
350151,350152,B6,553,EWR,RSW,2,489,195,0
68266,68267,CO,198,DEN,IAH,7,360,141,0
123502,123503,OO,6860,DEN,ABQ,3,500,74,0
148465,148466,WN,2004,DEN,LAX,4,880,155,0
484767,484768,DL,2846,MSP,PIT,2,1170,125,0
323698,323699,DL,2139,DCA,ATL,7,1020,122,0
69396,69397,UA,250,PDX,IAD,7,429,301,0
305775,305776,DL,1391,BOS,LGA,6,930,73,0
93190,93191,OO,6953,ORD,BOI,1,740,229,0
528918,528919,OH,6372,DTW,PIT,5,605,79,0
141051,141052,WN,756,MCI,DAL,4,495,95,0
83603,83604,US,1586,JAX,CLT,7,1195,88,0
227972,227973,OO,4712,SAN,LAX,2,570,49,0
340650,340651,DL,2808,FLL,CVG,1,944,159,0
367415,367416,MQ,4331,ORD,BNA,3,430,90,0
234586,234587,DL,2040,SFO,JFK,2,930,329,0
164571,164572,XE,2824,IAH,BHM,5,775,93,0
524295,524296,AA,2060,SEA,ORD,5,360,245,0
14340,14341,WN,313,CLE,MDW,3,1095,75,0
132334,132335,US,1528,MSY,CLT,3,975,111,0
41922,41923,XE,2352,OMA,IAH,5,656,140,0
346042,346043,MQ,4088,ORD,FAR,1,1240,115,0
96075,96076,MQ,4333,JFK,PIT,1,895,105,0
449234,449235,XE,2024,IAH,BTR,7,1280,61,0
136882,136883,WN,1950,MDW,PVD,3,1230,130,0
476894,476895,WN,557,SFO,LAS,2,755,90,0
362709,362710,MQ,2737,DFW,FSD,2,1140,125,0
98376,98377,B6,217,JFK,LGB,1,1020,380,0
524579,524580,XE,5952,CHS,IAD,5,360,90,0
328198,328199,OO,6629,DEN,SBA,7,1298,151,0
251485,251486,DL,1482,SLC,SNA,3,905,109,0
489798,489799,FL,1740,PIT,MCO,3,470,143,0
179361,179362,AA,450,DFW,MSP,6,650,140,0
323896,323897,9E,3972,HSV,ATL,7,1030,65,0
112970,112971,EV,7367,MEM,TLH,2,865,89,0
380905,380906,9E,4019,MEM,IND,3,1135,87,0
136644,136645,B6,1227,BOS,RDU,3,1210,123,0
145092,145093,WN,2982,BNA,DTW,4,700,95,0
158549,158550,WN,1117,TUL,HOU,5,465,95,0
367833,367834,US,817,ORD,PHL,3,450,120,0
282684,282685,WN,1215,SAN,SAT,5,635,155,0
437468,437469,EV,5247,ATL,BHM,7,630,57,0
127177,127178,EV,5174,BOS,DCA,3,695,105,0
197516,197517,AS,2,SEA,DCA,7,855,284,0
474337,474338,HA,168,HNL,KOA,2,625,43,0
375006,375007,DL,1911,PBI,DTW,3,821,174,0
309069,309070,AA,686,DFW,EWR,6,1135,195,0
42403,42404,MQ,3649,MIA,CVG,5,680,160,0
102265,102266,MQ,3363,DFW,LRD,1,1245,85,0
129101,129102,OO,4483,MSP,DSM,3,800,75,0
180365,180366,XE,2200,IAH,OKC,6,700,73,0
400880,400881,DL,2483,LGA,MSY,4,1205,221,0
108622,108623,WN,2117,TPA,MHT,2,625,175,0
227642,227643,HA,508,LIH,OGG,2,550,43,0
259776,259777,UA,8,SNA,SFO,4,406,106,0
496137,496138,US,592,PHX,MCI,3,795,152,0
89843,89844,US,61,BOS,CLT,1,570,148,0
18128,18129,XE,3115,PVD,CLE,4,360,117,0
